Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Industry,Gas Type,Scale,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Nepal,NP,NPL,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",1. Energy,Carbon dioxide,Units,0.19016434,0.19016434,0.259621368,0.394329369,0.373918173,0.318654245,0.244250117,0.288750619,0.282386204,0.453753335,0.519432018,0.444525165,0.507679488,0.72559932,0.793741237,0.55125588,0.739355666,0.747412112,0.739811898,0.578500024,0.895188751,1.126887199,1.137412873,1.298536871,1.616300693,1.763148644,1.834006072,2.100365817,2.202560488,3.006674602,3.100278538,3.350269837,2.670938596,2.904641121,2.696821017,3.074315168,2.501055613,2.578272564,2.882336558,3.424956831,4.122005328,4.405115744,4.971958322,4.944998811,5.949357177,5.694443482,8.503927688,10.19348527,11.7436001,10.09774871,12.09142659,12.55012,12.65680999,,,,,,,,
Nepal,NP,NPL,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",1. Energy,Greenhouse gas,Units,1.812072299,1.81624802,1.921119706,2.093276317,2.110320327,2.093954436,2.060169614,2.146796708,2.183191813,2.400672129,2.513510416,2.480963953,2.590115942,2.856150663,2.973166265,2.776228653,3.015904892,3.073904351,3.116674693,3.008306026,3.386715335,3.674030329,3.740727466,3.956803707,4.337039717,4.479181886,4.607108809,4.937978842,5.10159975,5.971853585,6.253017196,6.580197013,6.001055805,6.300549952,6.164595083,6.617678647,6.106287551,6.249803979,6.649660082,7.262196865,8.008440296,8.299174346,8.603861538,8.953011738,10.02639952,9.804815272,12.72044259,14.51276506,16.139309,14.53475129,16.64028196,17.0716551,17.18576109,,,,,,,,
Nepal,NP,NPL,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",1. Energy,Methane,Units,1.37025388,1.372596107,1.40242992,1.433636746,1.465421402,1.497821045,1.531954683,1.567042052,1.603036077,1.64005247,1.676767491,1.713633597,1.751676774,1.791254303,1.831011342,1.870401184,1.912146587,1.954275576,1.997063281,2.04062393,2.086949684,2.13035955,2.176939053,2.220631858,2.26891149,2.281024738,2.329360358,2.379661767,2.430668367,2.485194875,2.651548836,2.724205734,2.81248293,2.870022335,2.928769566,2.993259679,3.048010852,3.104927952,3.171041244,3.214011111,3.248305791,3.283831109,3.043828234,3.374778782,3.422978548,3.465530767,3.510566762,3.571688896,3.624034086,3.684539942,3.757625671,3.72606863,3.728902657,,,,,,,,
Nepal,NP,NPL,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",1. Energy,Nitrous oxide,Units,0.25165408,0.253487573,0.259068417,0.265310201,0.270980753,0.277479145,0.283964814,0.291004036,0.297769532,0.306866324,0.317310907,0.322805191,0.330759681,0.339297039,0.348413686,0.354571589,0.364402638,0.372216663,0.379799514,0.389182072,0.4045769,0.41678358,0.426375539,0.437634977,0.451827535,0.435008504,0.443742379,0.457951258,0.468370895,0.479984108,0.501189822,0.505721442,0.517634279,0.525886496,0.5390045,0.5501038,0.557221087,0.566603463,0.596282281,0.623228923,0.638129177,0.610227493,0.588074981,0.633234146,0.654063796,0.644841023,0.705948144,0.747590893,0.771674816,0.752462639,0.791229698,0.795466465,0.800048442,,,,,,,,
Nepal,NP,NPL,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",1.A. Fuel Combustion Activities,Carbon dioxide,Units,0.19016434,0.19016434,0.259621368,0.394329369,0.373918173,0.318654245,0.244250117,0.288750619,0.282386204,0.453753335,0.519432018,0.444525165,0.507679488,0.72559932,0.793741237,0.55125588,0.739355666,0.747412112,0.739811898,0.578500024,0.895188751,1.126887199,1.137412873,1.298536871,1.616300693,1.763148644,1.834006072,2.100365817,2.202560488,3.006674602,3.10011867,3.350175797,2.670825749,2.904547082,2.696736381,3.074202322,2.500867534,2.578140907,2.882195497,3.424806367,4.12184546,4.404946473,4.971779647,4.944810732,5.949159695,5.694236597,8.503720802,10.19325982,11.74335746,10.09748992,12.09117321,12.54986662,12.65654731,,,,,,,,
Nepal,NP,NPL,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",1.A. Fuel Combustion Activities,Greenhouse gas,Units,1.800231277,1.804110973,1.908686633,2.080547219,2.097295203,2.080633286,2.045805691,2.13135271,2.166630443,2.382956087,2.494602403,2.460826669,2.568712089,2.833442941,2.949117375,2.750801296,2.989061769,3.045608162,3.08688814,2.976991809,3.353836155,3.642701662,3.708004663,3.927026396,4.307650549,4.450055651,4.578183175,4.909181356,5.072874811,5.94317835,6.196437187,6.515388352,5.936464099,6.237074413,6.101649927,6.55334463,6.038047684,6.184530964,6.583886028,7.195925828,7.941693539,8.231909212,8.536092402,8.884730523,9.957575126,9.735451113,12.651031,14.44092489,16.06603345,14.4600232,16.56518757,16.99598318,17.10948112,,,,,,,,
Nepal,NP,NPL,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",1.A. Fuel Combustion Activities,Methane,Units,1.358412858,1.36045906,1.389996847,1.420907648,1.452396278,1.484499896,1.51759076,1.551598055,1.586474707,1.622336428,1.657859478,1.693496313,1.730272921,1.768546582,1.806962453,1.844973827,1.885303464,1.925979387,1.967276728,2.009309713,2.054070504,2.099030883,2.144216251,2.190854547,2.239522321,2.251898502,2.300434724,2.350864281,2.401943429,2.45651964,2.595360321,2.659822007,2.748334966,2.80697173,2.866239941,2.929369403,2.980289958,3.040117488,3.105739145,3.148221433,3.182049797,3.217066141,2.976568668,3.30701654,3.35468253,3.396704389,3.441692952,3.500429323,3.55136228,3.610438369,3.683159147,3.651030356,3.653265633,,,,,,,,
Nepal,NP,NPL,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",1.A. Fuel Combustion Activities,Nitrous oxide,Units,0.25165408,0.253487573,0.259068417,0.265310201,0.270980753,0.277479145,0.283964814,0.291004036,0.297769532,0.306866324,0.317310907,0.322805191,0.330759681,0.339297039,0.348413686,0.354571589,0.364402638,0.372216663,0.379799514,0.389182072,0.4045769,0.41678358,0.426375539,0.437634977,0.451827535,0.435008504,0.443742379,0.457951258,0.468370895,0.479984108,0.500958196,0.505390548,0.517303384,0.525555601,0.538673605,0.549772905,0.556890192,0.566272568,0.595951386,0.622898028,0.637798282,0.609896598,0.587744087,0.632903251,0.653732901,0.644510128,0.70561725,0.747235746,0.771313714,0.752094915,0.790855218,0.795086206,0.799668183,,,,,,,,
Nepal,NP,NPL,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",1.A.1. Energy Industries,Carbon dioxide,Units,0.02887677,0.02887677,0.02887677,0.02887677,0.02887677,0.02887677,0.02887677,0.032085299,0.032085299,0.032085299,0.010228764,0.006819423,0.006819423,0.006819423,0.006819423,0.023866869,0.006819423,0.006819423,0.020457527,,,0.027480097,0.044655156,0.054960193,0.07213525,0.030915109,0.030915109,0.0858753,0.092745325,0.051525181,0.020610072,0.013740048,0.003435012,0.003435012,0.010305036,0.013740048,0.010265562,0.006843708,0.006843708,0.010265562,0.003421854,,0.013687416,0.006843708,,,,9.91e-05,9.21e-05,4.8e-05,4.1e-05,4.28e-05,4.35e-05,,,,,,,,
Nepal,NP,NPL,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",1.A.1. Energy Industries,Greenhouse gas,Units,0.028937581,0.028937581,0.028937581,0.028937581,0.028937581,0.028937581,0.028937581,0.032151791,0.032151791,0.032151791,0.010262307,0.006841786,0.006841786,0.006841786,0.006841786,0.023945137,0.006841786,0.006841786,0.020524614,,,0.027566371,0.044795353,0.055132743,0.072361722,0.031012168,0.031012168,0.086144909,0.093036502,0.051686946,0.020674778,0.013783186,0.003445796,0.003445796,0.010337389,0.013783186,0.010297791,0.006865194,0.006865194,0.010297791,0.003432597,,0.013730388,0.006865194,,,,9.94e-05,9.24e-05,4.81e-05,4.12e-05,4.29e-05,4.37e-05,,,,,,,,
