Country,ISO2,ISO3,Indicator,Technology,Energy Type,Unit,Source,CTS Name,CTS Code,CTS Full Descriptor,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Nepal,NP,NPL,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",6.151,6.226,6.476,7.251,8.351,8.576,7.026,7.376,6.851,6.751,5.626,8.826,8.826,8.826,9.101,9.926,9.501,8.641,12.542,13.258,7.382,10.29,10.659,
Nepal,NP,NPL,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,7.034,7.034,7.034,6.434,6.992,7.112,7.112
Nepal,NP,NPL,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",46.935,22.075,10.705,7.16,11.794,14.885,14.705,11.24,9.115,11.035,8.205,2.48,10.205,14.25,5.445,0.66,0.18,0.205,0.123,0.088,0.057,0.043,0.023,
Nepal,NP,NPL,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41,53.41
Nepal,NP,NPL,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",1508.63,1717.342,1966.537,2155.238,2298.476,2459.816,2626.515,2764.171,2795.714,2769.313,2976.782,3359.755,3523.211,3498.604,3609.016,3587.727,3825.107,4422.835,4744.981,5520.858,6186.488,7917.835,10175.81,
Nepal,NP,NPL,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",258.974,379.746,385.434,537.868,547.63,550.992,554.986,561.067,570.039,665.008,674.893,681.801,686.549,721.215,736.823,790.98,811.388,916.493,1037.694,1159.077,1281.563,1972.563,2198.959,2676.669
Nepal,NP,NPL,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",0.04,0.416,0.911,1.487,2.066,2.646,2.505,2.242,2.871,5.398,6.138,11.149,12.279,14.597,15.605,18.22,18.595,75.987,80.903,83.78,83.699,86.14,103.175,
Nepal,NP,NPL,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",0.028,0.291,0.637,1.04,1.445,1.85,1.752,1.568,2.008,3.774,4.292,8.476,9.253,10.832,11.55,13.421,13.684,54.817,55.849,54.515,65.526,90.053,109.571,115.071
Nepal,NP,NPL,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",,,,,,,,,,,,,,0.121,0.121,0.121,0.121,0.121,0.296,0.349,0.349,0.349,0.349,
Nepal,NP,NPL,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",,,,,,,,,,,,,,0.069,0.069,0.069,0.069,0.069,0.169,0.199,0.199,0.199,0.199,0.199
