Country,ISO2,ISO3,Counterpart Country,Counterpart ISO2,Counterpart ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Trade Flow,Scale,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Nepal,NP,NPL,"Afghanistan, Islamic Rep. of",AF,AFG,Exports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,,,,,,,,,,,,,,,,,983.0,,,,,,,,,,,,,
Nepal,NP,NPL,"Afghanistan, Islamic Rep. of",AF,AFG,Exports of low carbon technology products as share of total exports,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,,,,,,,,,,,,,,,,,6.95338473509231,,,,,,,,,,,,,
Nepal,NP,NPL,"Andorra, Principality of",AD,AND,Imports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,,,,,,,,,,,,,,,,,42.0,,,117.0,1423.133,,,,,,,
Nepal,NP,NPL,Argentina,AR,ARG,Imports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,,,,37430.0,,,,,,,,,,,,,3453.0,,3805.0,,16256.277,15532.315,16687.15,23406.33,54.74,11.49,4622.967,
Nepal,NP,NPL,Argentina,AR,ARG,Imports of low carbon technology products as share of total imports,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,,,,0.0190630046819717,,,,,,,,,,,,,0.00424290689919517,,0.0035413384297335,,0.019262438671341,0.0116159034856756,0.0221173078101162,0.0252447656704328,2.53206850421138e-05,2.54379854326996e-06,0.00195868772290347,
Nepal,NP,NPL,"Armenia, Rep. of",AM,ARM,Imports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.07,,
Nepal,NP,NPL,"Armenia, Rep. of",AM,ARM,Imports of low carbon technology products as share of total imports,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8928571428571,,
Nepal,NP,NPL,Australia,AU,AUS,Imports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,39002.0,,,,13698.0,25640.0,78394.0,,,42418.0,,,,,,93047.0,631358.0,185621.0,89827.0,28637.0,106740.0,25496.0,64204.823,15291.525,271372.87,417600.44,22548.87,159522.65,116933.758,
Nepal,NP,NPL,Australia,AU,AUS,Imports of low carbon technology products as share of total imports,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,,,0.2283,0.32297349642609,0.922282244437383,,,0.45610752688172,,,,,,0.315598735542831,1.56757302448948,0.91801364322548,0.380274060471987,0.118900460754336,0.410820806037811,0.0713057524718801,0.139141019579138,0.0297962240900758,0.375310132035521,0.659287558448559,0.0485446436869565,0.0699731234328904,0.0823136917833338,
Nepal,NP,NPL,Austria,AT,AUT,Imports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,980284.0,,,,11013.0,1399506.0,1602.0,,,,,,,,,7237.0,178419.0,31559.0,75353.0,40815.0,3149810.0,322228.0,480038.542,793874.918,776587.38,230808.36,1641773.88,534177.11,1272695.851,
