Country,ISO2,ISO3,Indicator,Series,Variable,Model,Scenarios,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
Nepal,NP,NPL,Transition Pathways,Surface temperature,50th percentile,GCAM,Below 2°C,Degree Celsius,,,,,22.1893,22.48471,22.72861,22.97415,23.15319,23.25226,23.38243
Nepal,NP,NPL,Transition Pathways,Surface temperature,50th percentile,GCAM,Current Policies (Hot house world scenario),Degree Celsius,,,,,22.26192,22.56691,22.77758,22.98598,23.18003,23.339,23.54027
Nepal,NP,NPL,Transition Pathways,Surface temperature,50th percentile,GCAM,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,22.18812,22.46367,22.69602,22.99966,23.2316,23.36474,23.49415
Nepal,NP,NPL,Transition Pathways,Surface temperature,50th percentile,GCAM,Fragmented World,Degree Celsius,,,,,22.18704,22.47447,22.67583,22.90158,23.0905,23.24141,23.39827
Nepal,NP,NPL,Transition Pathways,Surface temperature,50th percentile,GCAM,Low Demand,Degree Celsius,,,,,22.18782,22.45583,22.69182,22.92288,23.07689,23.14337,23.15961
Nepal,NP,NPL,Transition Pathways,Surface temperature,50th percentile,GCAM,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,22.18754,22.48052,22.68384,22.90704,23.10316,23.25921,23.4465
Nepal,NP,NPL,Transition Pathways,Surface temperature,50th percentile,GCAM,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,22.18966,22.4922,22.73848,22.96283,23.09064,23.12879,23.12817
Nepal,NP,NPL,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Below 2°C,Degree Celsius,,,,,22.16504,22.46819,22.74386,22.98119,23.14204,23.23701,23.35607
Nepal,NP,NPL,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,,,,,22.16363,22.47341,22.67112,22.89469,23.09672,23.24827,23.42514
Nepal,NP,NPL,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,22.1648,22.46269,22.69091,23.00744,23.22132,23.33223,23.47015
Nepal,NP,NPL,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Fragmented World,Degree Celsius,,,,,22.16382,22.47239,22.67179,22.93126,23.12868,23.22616,23.34555
Nepal,NP,NPL,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Low Demand,Degree Celsius,,,,,22.16506,22.47016,22.79067,22.98274,23.05591,23.06259,23.09808
Nepal,NP,NPL,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,22.16407,22.4756,22.67295,22.89492,23.07282,23.18767,23.32048
Nepal,NP,NPL,Transition Pathways,Surface temperature,50th percentile,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,22.16506,22.46935,22.76285,22.93987,23.01479,23.02072,23.04771
Nepal,NP,NPL,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Below 2°C,Degree Celsius,,,,,22.16216514,22.4620327,22.68593269,22.92729847,23.06861193,23.13950812,23.22264211
Nepal,NP,NPL,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Current Policies (Hot house world scenario),Degree Celsius,,,,,22.16216514,22.46668108,22.65262405,22.87850545,23.07387489,23.23549802,23.43356512
Nepal,NP,NPL,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,22.16216514,22.46668108,22.65262405,22.94141782,23.15172983,23.24104469,23.29870395
Nepal,NP,NPL,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Fragmented World,Degree Celsius,,,,,22.16216514,22.46668108,22.65262405,22.87421289,23.06343556,23.1862301,23.30941027
Nepal,NP,NPL,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Low Demand,Degree Celsius,,,,,22.16216514,22.4736355,22.69304767,22.84175906,22.84971017,22.78010043,22.73327228
Nepal,NP,NPL,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,22.16216514,22.46603998,22.6528441,22.87081853,23.01538182,23.10468593,23.20584368
Nepal,NP,NPL,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,22.16216514,22.46657154,22.6861959,22.86494428,22.9068891,22.88812502,22.91212771
Nepal,NP,NPL,Transition Pathways,Surface temperature,5th percentile,GCAM,Below 2°C,Degree Celsius,,,,,22.01532,22.20685,22.38524,22.5428,22.64337,22.70345,22.78569
Nepal,NP,NPL,Transition Pathways,Surface temperature,5th percentile,GCAM,Current Policies (Hot house world scenario),Degree Celsius,,,,,22.01478,22.20169,22.36704,22.56168,22.74959,22.91079,23.14163
Nepal,NP,NPL,Transition Pathways,Surface temperature,5th percentile,GCAM,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,22.01485,22.19801,22.37086,22.58144,22.71841,22.79688,22.8795
Nepal,NP,NPL,Transition Pathways,Surface temperature,5th percentile,GCAM,Fragmented World,Degree Celsius,,,,,22.01496,22.20083,22.36777,22.56291,22.72089,22.85407,23.02251
Nepal,NP,NPL,Transition Pathways,Surface temperature,5th percentile,GCAM,Low Demand,Degree Celsius,,,,,22.01458,22.19714,22.36033,22.51495,22.5883,22.60756,22.60784
Nepal,NP,NPL,Transition Pathways,Surface temperature,5th percentile,GCAM,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,22.01525,22.20478,22.37563,22.56248,22.72545,22.87319,23.06895
Nepal,NP,NPL,Transition Pathways,Surface temperature,5th percentile,GCAM,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,22.01543,22.21302,22.38604,22.51694,22.57041,22.58799,22.5691
Nepal,NP,NPL,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Below 2°C,Degree Celsius,,,,,22.00467,22.22083,22.40422,22.55982,22.65428,22.69089,22.75488
Nepal,NP,NPL,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,,,,,22.00431,22.2176,22.37297,22.57096,22.75049,22.88056,23.0623
Nepal,NP,NPL,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,22.00432,22.21346,22.37337,22.60415,22.73136,22.77699,22.84371
Nepal,NP,NPL,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Fragmented World,Degree Celsius,,,,,22.0045,22.21742,22.37305,22.59254,22.74477,22.83674,22.94953
Nepal,NP,NPL,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Low Demand,Degree Celsius,,,,,22.00468,22.2194,22.40424,22.50241,22.52771,22.50303,22.49731
Nepal,NP,NPL,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,22.0048,22.22013,22.37147,22.56402,22.70988,22.80614,22.94256
Nepal,NP,NPL,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,22.00468,22.22292,22.40947,22.51724,22.54517,22.50757,22.51349
Nepal,NP,NPL,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Below 2°C,Degree Celsius,,,,,22.00026182,22.20778045,22.37183252,22.53286998,22.60463743,22.6105763,22.65426509
Nepal,NP,NPL,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Current Policies (Hot house world scenario),Degree Celsius,,,,,22.00026182,22.20694883,22.36251342,22.55342059,22.7149592,22.84072709,23.02155572
Nepal,NP,NPL,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,22.00026182,22.20694883,22.36251342,22.55088574,22.66419519,22.69051191,22.69416444
Nepal,NP,NPL,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Fragmented World,Degree Celsius,,,,,22.00026182,22.20694883,22.36251342,22.54927369,22.69059239,22.7840586,22.90453455
Nepal,NP,NPL,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Low Demand,Degree Celsius,,,,,22.00026182,22.21480173,22.36212388,22.45393998,22.40342916,22.31366487,22.246772
Nepal,NP,NPL,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,22.00026182,22.20472625,22.35936824,22.53099448,22.64205802,22.71329855,22.80476465
Nepal,NP,NPL,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,22.00026182,22.20799446,22.36432826,22.47241159,22.46257902,22.40280835,22.38809665
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,GCAM,Below 2°C,Degree Celsius,,,,,22.3652,22.77402,23.15325,23.48898,23.74693,23.89497,24.05819
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,GCAM,Current Policies (Hot house world scenario),Degree Celsius,,,,,22.27939,22.63234,22.92276,23.21266,23.53171,23.8034,24.10361
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,GCAM,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,22.36417,22.74963,23.08203,23.4903,23.80755,23.99403,24.15928
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,GCAM,Fragmented World,Degree Celsius,,,,,22.27968,22.63213,22.92305,23.22885,23.53848,23.76379,24.00109
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,GCAM,Low Demand,Degree Celsius,,,,,22.36387,22.74131,23.09391,23.4143,23.65542,23.7766,23.79801
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,GCAM,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,22.28001,22.64062,22.93925,23.24092,23.55017,23.78394,24.04689
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,GCAM,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,22.36555,22.7835,23.17606,23.49322,23.71145,23.79973,23.77792
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Below 2°C,Degree Celsius,,,,,22.33648,22.76902,23.17401,23.50018,23.7397,23.87023,24.03714
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,,,,,22.2545,22.6407,22.90508,23.20495,23.53695,23.78133,24.05711
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,22.33622,22.75835,23.06258,23.49266,23.81846,23.96731,24.13611
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Fragmented World,Degree Celsius,,,,,22.25462,22.64002,22.9061,23.26325,23.59344,23.79764,23.99577
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Low Demand,Degree Celsius,,,,,22.33651,22.77233,23.24799,23.54422,23.70901,23.75035,23.79441
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Degree Celsius,,,,,22.25486,22.64608,22.91702,23.21108,23.52593,23.72825,23.95222
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Degree Celsius,,,,,22.33651,22.77104,23.20165,23.4707,23.59829,23.63596,23.68562
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Below 2°C,Degree Celsius,,,,,22.24750837,22.75301221,23.05577693,23.38928646,23.63725773,23.7568444,23.88536026
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Current Policies (Hot house world scenario),Degree Celsius,,,,,22.24750837,22.62984664,22.87160232,23.18944793,23.49915215,23.76265849,24.06556768
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Degree Celsius,,,,,22.24750837,22.62984664,22.87160232,23.38444371,23.70188865,23.8418901,23.95854654
Nepal,NP,NPL,Transition Pathways,Surface temperature,95th percentile,REMIND-MAgPIE,Fragmented World,Degree Celsius,,,,,22.24750837,22.62984664,22.87160232,23.18463782,23.49662298,23.72694312,23.95167188
