Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
NPL,2021,SH.DYN.MORT,27.2
NPL,2020,SH.DYN.MORT,28.2
NPL,2019,SH.DYN.MORT,29.3
NPL,2018,SH.DYN.MORT,30.6
NPL,2017,SH.DYN.MORT,32.1
NPL,2016,SH.DYN.MORT,33.7
NPL,2015,SH.DYN.MORT,35.5
NPL,2014,SH.DYN.MORT,37.4
NPL,2013,SH.DYN.MORT,39.4
NPL,2012,SH.DYN.MORT,41.5
NPL,2011,SH.DYN.MORT,43.6
NPL,2010,SH.DYN.MORT,45.9
NPL,2009,SH.DYN.MORT,48.2
NPL,2008,SH.DYN.MORT,50.7
NPL,2007,SH.DYN.MORT,53.4
NPL,2006,SH.DYN.MORT,56.3
NPL,2005,SH.DYN.MORT,59.4
NPL,2004,SH.DYN.MORT,62.7
NPL,2003,SH.DYN.MORT,66.4
NPL,2002,SH.DYN.MORT,70.3
NPL,2001,SH.DYN.MORT,74.6
NPL,2000,SH.DYN.MORT,79.1
NPL,1999,SH.DYN.MORT,84
NPL,1998,SH.DYN.MORT,89.1
NPL,1997,SH.DYN.MORT,94.4
NPL,1996,SH.DYN.MORT,99.9
NPL,1995,SH.DYN.MORT,105.7
NPL,1994,SH.DYN.MORT,111.7
NPL,1993,SH.DYN.MORT,118
NPL,1992,SH.DYN.MORT,124.6
NPL,1991,SH.DYN.MORT,131.5
NPL,1990,SH.DYN.MORT,138.6
NPL,1989,SH.DYN.MORT,145.8
NPL,1988,SH.DYN.MORT,153.1
NPL,1987,SH.DYN.MORT,160.4
NPL,1986,SH.DYN.MORT,167.5
NPL,1985,SH.DYN.MORT,174.5
NPL,1984,SH.DYN.MORT,181.3
NPL,1983,SH.DYN.MORT,188
NPL,1982,SH.DYN.MORT,194.5
NPL,1981,SH.DYN.MORT,201.1
NPL,1980,SH.DYN.MORT,207.7
NPL,1979,SH.DYN.MORT,214.2
NPL,1978,SH.DYN.MORT,220.7
NPL,1977,SH.DYN.MORT,226.8
NPL,1976,SH.DYN.MORT,232.6
NPL,1975,SH.DYN.MORT,238.2
NPL,1974,SH.DYN.MORT,243.7
NPL,1973,SH.DYN.MORT,249.1
NPL,1972,SH.DYN.MORT,254.5
NPL,1971,SH.DYN.MORT,260
NPL,1970,SH.DYN.MORT,265.8
NPL,1969,SH.DYN.MORT,271.9
NPL,1968,SH.DYN.MORT,278.1
NPL,1967,SH.DYN.MORT,284.7
NPL,1966,SH.DYN.MORT,291.4
NPL,1965,SH.DYN.MORT,298.2
NPL,1964,SH.DYN.MORT,304.5
NPL,1963,SH.DYN.MORT,310.7
NPL,1962,SH.DYN.MORT,316.1
NPL,1961,SH.DYN.MORT,320.8
NPL,1960,SH.DYN.MORT,324.7
NPL,2010,SI.POV.DDAY,8.2
NPL,2003,SI.POV.DDAY,40.3
NPL,1995,SI.POV.DDAY,55.2
NPL,2022,SP.POP.GROW,1.69224660146888
NPL,2021,SP.POP.GROW,2.31172371212952
NPL,2020,SP.POP.GROW,1.77426805557613
NPL,2019,SP.POP.GROW,1.13635160669166
NPL,2018,SP.POP.GROW,1.1405493652354
NPL,2017,SP.POP.GROW,1.14995372279388
NPL,2016,SP.POP.GROW,0.90447404681918
NPL,2015,SP.POP.GROW,0.538270619899636
NPL,2014,SP.POP.GROW,0.293747924382451
NPL,2013,SP.POP.GROW,0.185921856916927
NPL,2012,SP.POP.GROW,0.235525469173116
NPL,2011,SP.POP.GROW,0.385214210038506
NPL,2010,SP.POP.GROW,0.496881283325948
NPL,2009,SP.POP.GROW,0.539422885134866
NPL,2008,SP.POP.GROW,0.626509658660505
NPL,2007,SP.POP.GROW,0.731449423498353
NPL,2006,SP.POP.GROW,0.885774450092644
NPL,2005,SP.POP.GROW,1.07535927644443
NPL,2004,SP.POP.GROW,1.24233141085399
NPL,2003,SP.POP.GROW,1.37502669708874
NPL,2002,SP.POP.GROW,1.49583260634063
